af_ad_id,af_ad,campaign,af_installs,af_signups,af_trials,af_trials_annual_reg,af_trials_annual_plus,af_trials_monthly,af_trial_cancelled,af_rc_purchase,af_trial_or_purchase,af_top_rev
120247889143360167,c1!UGC_c2!video_c3!ugc_c4!productdemo_c5!ongoing_c6!AI-gen_c7!Outcome_c8!Workplace-ColleagueCompliment_2practice_winning,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,227,121,59,53,6,,5,70,61,4632.0
120246363710870167,c1_UGC_c2_video_c3_ugc_c4_problemsolution_c5_ongoing_c6_AI-gen_c7_PainPoint_c8_TheFixforEnglishBrainFreeze-1direct -winning,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning2,232,159,59,44,2,2,3,65,57,5036.0
120248334979440167,c1!na_c2!video_c3!influencer_c4!problemsolution_c5!ongoing_c6!drama_engbook_c7!Testimonial_c8!input_output_short,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,224,165,59,49,4,2,2,64,59,4318.0
120249779562150167,c1!n:a_c2!video_c3!influencer_c4!campaign_c5!promo_c6!illyandlean_c7!26Q3Campaign_c8!outro-promo-long_c9!app,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,230,159,57,44,11,2,6,61,57,5681.0
120250114986240167,c1!UGC_c2!video_c3!ugc_c4!senario_c5!promo_c6!Jenny_c7!hook.realscene.fulleng_c8!InterviewSalaryNegotiation-v2-cut_c9!app-testing,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,208,152,57,43,4,,18,57,57,2242.0
120249918296230167,c1!Video_c2!video_c3!influencer_c4!productdemo_c5!promo_c6!morning.jason_c7!26Q3Campaign_c8!og-video_c9!app-cpr,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,268,147,55,42,6,,11,61,56,4609.0
120247887774070167,c1!UGC_c2!video_c3!whitelist_c4!testimonial_c5!ongoing_c6!SWM-Tsai_c7!Testimonial_c8!2-Weeks-Testmonial_scaling,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,188,138,54,42,10,,12,55,54,4673.0
120249176075550167,c1!na_c2!video_c3!influencer_c4!speakmethod_c5!ongoing_c6!thedodomen_c7!noframe_c8!og-video,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,288,207,54,48,6,,4,62,54,4866.0
120250212082910167,c1!UGC_c2!video_c3!whitelist_c4!senario_c5!ongoing_c6!MIP-louise_lu_c7!oneshot_c8!exchange-student-scenario_c9!app-testing,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,183,139,52,34,12,,,57,50,3467.0
120246191401160167,c1:na_c2:video_c3:influencer_c4:valueprop_c5:ongoing_c6:harryspeaks__c7:Speak_company_c8:0601,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,242,149,48,34,8,,6,52,48,3408.0
120248718399620167,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!eaglish.fam_c7!Product_c8!og-video,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,268,184,48,40,,6,9,51,49,4104.0
120245417330630167,c1:Video_c2:video_c3:influencer_c4:productdemo_c5:promo_c6:ATienDai_c7:ValueProp_c8:speak-with-me-conv-winning,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,178,138,46,34,6,4,8,48,48,5548.0
120249990614210167,c1!UGC_c2!video_c3!whitelist_c4!painpoint _c5!ongoing_c6!MIP-saraworld_c7!aboardlife.remoworker_c8!ai-conversion-self-discipline_c9!app-testing,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,184,112,45,32,6,,,47,43,3483.0
120249069884080167,c1!UGC_c2!image_c3!whitelist_c4!valueprop_c5!ongoing_c6!MIP-emily_life_c7!AllEnHook_c8!learning-technique-sharing_scaling,tw_meta_standard_ios_tw-en_pros_trial_ongoing_scaling2,154,102,42,36,4,2,4,48,42,3654.0
120245417330650167,c1:Video_c2:video_c3:influencer_c4:productdemo_c5:promo_c6:illyandlean_c7:ValueProp_c8:speak-with-me-conv-winning,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,124,94,41,21,12,6,10,45,39,2526.0
120247189268040167,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!garytalk369_c7!ValueProp_c8!og-reels,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,198,116,41,33,6,,12,47,42,3949.0
120248719356730167,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!harryspeaks__c7!Product_c8!og-video,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,162,115,39,27,6,2,2,41,39,4436.0
120249469567200167,c1!UGC_c2!video_c3!ugc_c4!speakmethod_c5!promo_c6!Sophia_c7!hook.testimonial_c8!OutputInputAndSpeakMethod-v2-cut,tw_meta_standard_ios_tw-en_pros_purchase_ongoing_no-disc_testing,144,96,38,26,10,2,8,40,38,3927.0
